2024-06-10T10:56:02.977Z [INFO] - Processing chunk: 15 / 50
2024-06-10T10:56:03.106Z [INFO] - Processing chunk: 16 / 50
2024-06-10T10:56:03.377Z [INFO] - Processing chunk: 17 / 50
2024-06-10T10:56:03.505Z [INFO] - Processing chunk: 18 / 50
2024-06-10T10:56:03.617Z [INFO] - Processing chunk: 19 / 50
2024-06-10T10:56:03.723Z [INFO] - Processing chunk: 20 / 50
2024-06-10T10:56:03.832Z [INFO] - Processing chunk: 21 / 50
2024-06-10T10:56:04.336Z [INFO] - Processing chunk: 22 / 50
2024-06-10T10:56:04.453Z [INFO] - Processing chunk: 23 / 50
2024-06-10T10:56:04.559Z [INFO] - Processing chunk: 24 / 50
2024-06-10T10:56:04.675Z [INFO] - Processing chunk: 25 / 50
2024-06-10T10:56:04.790Z [INFO] - Processing chunk: 26 / 50
2024-06-10T10:56:05.324Z [INFO] - Processing chunk: 27 / 50
2024-06-10T10:56:05.434Z [INFO] - Processing chunk: 28 / 50
2024-06-10T10:56:05.550Z [INFO] - Processing chunk: 29 / 50
2024-06-10T10:56:05.741Z [INFO] - Processing chunk: 30 / 50
2024-06-10T10:56:05.870Z [INFO] - Processing chunk: 31 / 50
2024-06-10T10:56:06.327Z [INFO] - Processing chunk: 32 / 50
2024-06-10T10:56:06.710Z [INFO] - Processing chunk: 33 / 50
2024-06-10T10:56:06.825Z [INFO] - Processing chunk: 34 / 50
2024-06-10T10:56:06.945Z [INFO] - Processing chunk: 35 / 50
2024-06-10T10:56:07.072Z [INFO] - Processing chunk: 36 / 50
2024-06-10T10:56:07.190Z [INFO] - Processing chunk: 37 / 50
2024-06-10T10:56:07.399Z [INFO] - Processing chunk: 38 / 50
2024-06-10T10:56:07.538Z [INFO] - Processing chunk: 39 / 50
2024-06-10T10:56:07.671Z [INFO] - Processing chunk: 40 / 50
2024-06-10T10:56:07.784Z [INFO] - Processing chunk: 41 / 50
2024-06-10T10:56:07.908Z [INFO] - Processing chunk: 42 / 50
2024-06-10T10:56:08.376Z [INFO] - Processing chunk: 43 / 50
2024-06-10T10:56:08.496Z [INFO] - Processing chunk: 44 / 50
2024-06-10T10:56:08.610Z [INFO] - Processing chunk: 45 / 50
2024-06-10T10:56:08.725Z [INFO] - Processing chunk: 46 / 50
2024-06-10T10:56:08.840Z [INFO] - Processing chunk: 47 / 50
2024-06-10T10:56:09.347Z [INFO] - Processing chunk: 48 / 50
2024-06-10T10:56:09.451Z [INFO] - Processing chunk: 49 / 50
2024-06-10T10:56:09.551Z [INFO] - Processing chunk: 50 / 50
2024-06-10T10:57:00.770Z [INFO] - Running scheduled task
2024-06-10T10:57:00.790Z [INFO] - Read data from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:57:00.794Z [INFO] - Parsed data successfully from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T10:57:00.801Z [INFO] - Processing chunk: 1 / 50
2024-06-10T10:57:00.993Z [INFO] - Processing chunk: 2 / 50
2024-06-10T10:57:01.220Z [INFO] - Processing chunk: 3 / 50
2024-06-10T10:57:01.477Z [INFO] - Processing chunk: 4 / 50
2024-06-10T10:57:01.746Z [INFO] - Processing chunk: 5 / 50
2024-06-10T10:57:01.873Z [INFO] - Processing chunk: 6 / 50
2024-06-10T10:57:02.144Z [INFO] - Processing chunk: 7 / 50
2024-06-10T10:57:02.396Z [INFO] - Processing chunk: 8 / 50
2024-06-10T10:57:02.642Z [INFO] - Processing chunk: 9 / 50
2024-06-10T10:57:02.826Z [INFO] - Processing chunk: 10 / 50
2024-06-10T10:57:02.948Z [INFO] - Processing chunk: 11 / 50
2024-06-10T10:57:03.080Z [INFO] - Processing chunk: 12 / 50
2024-06-10T10:57:03.386Z [INFO] - Processing chunk: 13 / 50
2024-06-10T10:57:03.558Z [INFO] - Processing chunk: 14 / 50
2024-06-10T10:57:03.878Z [INFO] - Processing chunk: 15 / 50
2024-06-10T10:57:04.012Z [INFO] - Processing chunk: 16 / 50
2024-06-10T10:57:04.152Z [INFO] - Processing chunk: 17 / 50
2024-06-10T10:57:04.339Z [INFO] - Processing chunk: 18 / 50
2024-06-10T10:57:04.522Z [INFO] - Processing chunk: 19 / 50
2024-06-10T10:57:04.675Z [INFO] - Processing chunk: 20 / 50
2024-06-10T10:57:04.930Z [INFO] - Processing chunk: 21 / 50
2024-06-10T10:57:05.086Z [INFO] - Processing chunk: 22 / 50
2024-06-10T10:57:05.225Z [INFO] - Processing chunk: 23 / 50
2024-06-10T10:57:05.418Z [INFO] - Processing chunk: 24 / 50
2024-06-10T10:57:05.630Z [INFO] - Processing chunk: 25 / 50
2024-06-10T10:57:06.144Z [INFO] - Processing chunk: 26 / 50
2024-06-10T10:57:06.309Z [INFO] - Processing chunk: 27 / 50
2024-06-10T10:57:06.480Z [INFO] - Processing chunk: 28 / 50
2024-06-10T10:57:06.615Z [INFO] - Processing chunk: 29 / 50
